Date	ISIN	SecurityDescription	AggregateHoldingOfFPIS	OutstandingPositionOfGovtSecurities	SecHoldings
20180601	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180601	IN0020120039	08.33 GS 2026	3134.41	90000	3.48
20180601	IN0020150093	07.59 GS 2026	3551.348	96000	3.7
20180601	IN0020092071	GOI FRB 2020	505	13000	3.89
20180601	IN0020090034	07.35 GS 2024	3609.89	90168.022	4
20180601	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180601	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180601	IN0020170174	07.17 GS 2028	2226.183	48000	4.64
20180601	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180601	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180601	IN0020130038	07.28 GS 2019	2833.789	53000	5.35
20180601	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180601	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180601	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180601	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180601	IN0020170026	06.79 GS 2027	9214.075	121000	7.62
20180601	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180601	IN0020150036	07.72 GS 2025	7674.229	86000	8.92
20180601	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180601	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180601	IN0020120013	08.15 GS 2022	11064.685	83000	13.33
20180601	IN0020160050	06.84 GS 2022	12568.023	93000	13.51
20180601	IN0020130012	07.16 GS 2023	10490.36	77100	13.61
20180601	IN0020060037	08.20 GS 2022	8113.88	57632.33	14.08
20180601	IN0020110022	07.80 GS 2021	10363.767	66000	15.7
20180601	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180601	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180601	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180601	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180601	IN0020020072	08.35 GS 2022	6373.84	77000	8.28
20180601	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180601	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180601	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180601	IN0020160092	06.62 GS 2051	35	55000	0.06
20180601	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180601	IN0020020106	07.95 GS 2032	102	89000	0.12
20180601	IN0020140052	08.24 GS 2033	218.372	87275	0.25
20180601	IN0020050012	07.40 GS 2035	173.05	58245	0.3
20180601	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180601	IN0020160100	06.57 GS 2033	245	52000	0.47
20180601	IN0020150044	08.13 GS 2045	362.735	73000	0.5
20180601	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180601	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180601	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180601	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180601	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180601	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180601	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180601	IN0020150051	07.73 GS 2034	851.235	100000	0.85
20180601	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180601	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180601	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180601	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180601	IN0020060078	08.24 GS 2027	1356.525	93388.55	1.45
20180601	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180601	IN0020150069	07.59 GS 2029	1673.783	96236.793	1.74
20180601	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180601	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180601	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180601	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180601	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180601	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180604	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180604	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180604	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180604	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180604	IN0020130038	07.28 GS 2019	2733.789	53000	5.16
20180604	IN0020120039	08.33 GS 2026	3134.41	90000	3.48
20180604	IN0020170174	07.17 GS 2028	2161.183	48000	4.5
20180604	IN0020090034	07.35 GS 2024	3751.29	90168.022	4.16
20180604	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180604	IN0020150093	07.59 GS 2026	3808.348	96000	3.97
20180604	IN0020092071	GOI FRB 2020	505	13000	3.89
20180604	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180604	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180604	IN0020170026	06.79 GS 2027	9214.075	121000	7.62
20180604	IN0020160050	06.84 GS 2022	12457.723	93000	13.4
20180604	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180604	IN0020150036	07.72 GS 2025	7674.229	86000	8.92
20180604	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180604	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180604	IN0020120013	08.15 GS 2022	11059.685	83000	13.33
20180604	IN0020130012	07.16 GS 2023	10415.36	77100	13.51
20180604	IN0020060037	08.20 GS 2022	8128.88	57632.33	14.11
20180604	IN0020110022	07.80 GS 2021	10363.767	66000	15.7
20180604	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180604	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180604	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180604	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180604	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180604	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180604	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180604	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180604	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180604	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180604	IN0020160092	06.62 GS 2051	35	55000	0.06
20180604	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180604	IN0020020106	07.95 GS 2032	102	89000	0.12
20180604	IN0020140052	08.24 GS 2033	218.372	87275	0.25
20180604	IN0020050012	07.40 GS 2035	173.05	58245	0.3
20180604	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180604	IN0020160100	06.57 GS 2033	245	52000	0.47
20180604	IN0020150044	08.13 GS 2045	362.735	73000	0.5
20180604	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180604	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180604	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180604	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180604	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180604	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180604	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180604	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180604	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180604	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180604	IN0020150069	07.59 GS 2029	1673.61	96236.793	1.74
20180604	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180604	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180604	IN0020060078	08.24 GS 2027	1356.525	93388.55	1.45
20180604	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180604	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180604	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180604	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180604	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180604	IN0020150051	07.73 GS 2034	851.235	100000	0.85
20180604	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180605	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180605	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180605	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180605	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180605	IN0020130038	07.28 GS 2019	2713.789	53000	5.12
20180605	IN0020120039	08.33 GS 2026	3134.41	90000	3.48
20180605	IN0020150093	07.59 GS 2026	4161.348	96000	4.34
20180605	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180605	IN0020090034	07.35 GS 2024	3751.29	90168.022	4.16
20180605	IN0020170174	07.17 GS 2028	1961.183	48000	4.09
20180605	IN0020092071	GOI FRB 2020	505	13000	3.89
20180605	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180605	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180605	IN0020170026	06.79 GS 2027	9214.075	121000	7.62
20180605	IN0020160050	06.84 GS 2022	12497.723	93000	13.44
20180605	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180605	IN0020150036	07.72 GS 2025	7674.229	86000	8.92
20180605	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180605	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180605	IN0020120013	08.15 GS 2022	11059.685	83000	13.33
20180605	IN0020130012	07.16 GS 2023	10415.36	77100	13.51
20180605	IN0020060037	08.20 GS 2022	8158.88	57632.33	14.16
20180605	IN0020110022	07.80 GS 2021	10363.767	66000	15.7
20180605	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180605	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180605	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180605	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180605	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180605	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180605	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180605	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180605	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180605	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180605	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180605	IN0020160092	06.62 GS 2051	35	55000	0.06
20180605	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180605	IN0020020106	07.95 GS 2032	102	89000	0.12
20180605	IN0020140052	08.24 GS 2033	218.372	87275	0.25
20180605	IN0020050012	07.40 GS 2035	173.05	58245	0.3
20180605	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180605	IN0020150044	08.13 GS 2045	362.735	73000	0.5
20180605	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180605	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180605	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180605	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180605	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180605	IN0020160100	06.57 GS 2033	195	52000	0.38
20180605	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180605	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180605	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180605	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180605	IN0020150069	07.59 GS 2029	1673.61	96236.793	1.74
20180605	IN0020060078	08.24 GS 2027	1394.525	93388.55	1.49
20180605	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180605	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180605	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180605	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180605	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180605	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180605	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180605	IN0020150051	07.73 GS 2034	851.235	100000	0.85
20180605	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180606	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180606	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180606	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180606	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180606	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180606	IN0020130038	07.28 GS 2019	2713.789	53000	5.12
20180606	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180606	IN0020150093	07.59 GS 2026	4161.348	96000	4.34
20180606	IN0020090034	07.35 GS 2024	3752.03	90168.022	4.16
20180606	IN0020170174	07.17 GS 2028	1900.733	48000	3.96
20180606	IN0020092071	GOI FRB 2020	505	13000	3.89
20180606	IN0020120039	08.33 GS 2026	3134.41	90000	3.48
20180606	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180606	IN0020170026	06.79 GS 2027	9244.075	121000	7.64
20180606	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180606	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180606	IN0020150036	07.72 GS 2025	7674.229	86000	8.92
20180606	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180606	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180606	IN0020160050	06.84 GS 2022	12052.723	93000	12.96
20180606	IN0020130012	07.16 GS 2023	10415.36	77100	13.51
20180606	IN0020120013	08.15 GS 2022	11259.685	83000	13.57
20180606	IN0020060037	08.20 GS 2022	8228.88	57632.33	14.28
20180606	IN0020110022	07.80 GS 2021	10363.767	66000	15.7
20180606	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180606	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180606	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180606	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180606	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180606	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180606	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180606	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180606	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180606	IN0020160092	06.62 GS 2051	35	55000	0.06
20180606	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180606	IN0020020106	07.95 GS 2032	102	89000	0.12
20180606	IN0020140052	08.24 GS 2033	220.372	87275	0.25
20180606	IN0020050012	07.40 GS 2035	173.05	58245	0.3
20180606	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180606	IN0020160100	06.57 GS 2033	195	52000	0.38
20180606	IN0020150044	08.13 GS 2045	362.735	73000	0.5
20180606	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180606	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180606	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180606	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180606	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180606	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180606	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180606	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180606	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180606	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180606	IN0020150069	07.59 GS 2029	1673.61	96236.793	1.74
20180606	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180606	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180606	IN0020060078	08.24 GS 2027	1394.525	93388.55	1.49
20180606	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180606	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180606	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180606	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180606	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180606	IN0020150051	07.73 GS 2034	826.235	100000	0.83
20180606	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180607	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180607	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180607	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180607	IN0020130038	07.28 GS 2019	2710.789	53000	5.12
20180607	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180607	IN0020120039	08.33 GS 2026	3124.41	90000	3.47
20180607	IN0020090034	07.35 GS 2024	3752.03	90168.022	4.16
20180607	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180607	IN0020170174	07.17 GS 2028	1890.283	48000	3.94
20180607	IN0020092071	GOI FRB 2020	505	13000	3.89
20180607	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180607	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180607	IN0020150093	07.59 GS 2026	4161.348	96000	4.34
20180607	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180607	IN0020160050	06.84 GS 2022	12002.723	93000	12.91
20180607	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180607	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180607	IN0020150036	07.72 GS 2025	7673.729	86000	8.92
20180607	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180607	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180607	IN0020120013	08.15 GS 2022	11029.685	83000	13.29
20180607	IN0020130012	07.16 GS 2023	10415.36	77100	13.51
20180607	IN0020060037	08.20 GS 2022	8413.88	57632.33	14.6
20180607	IN0020110022	07.80 GS 2021	10213.767	66000	15.48
20180607	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180607	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180607	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180607	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180607	IN0020170026	06.79 GS 2027	9244.075	121000	7.64
20180607	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180607	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180607	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180607	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180607	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180607	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180607	IN0020160092	06.62 GS 2051	35	55000	0.06
20180607	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180607	IN0020020106	07.95 GS 2032	102	89000	0.12
20180607	IN0020140052	08.24 GS 2033	220.372	87275	0.25
20180607	IN0020050012	07.40 GS 2035	173.05	58245	0.3
20180607	IN0020160100	06.57 GS 2033	195	52000	0.38
20180607	IN0020150044	08.13 GS 2045	362.735	73000	0.5
20180607	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180607	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180607	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180607	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180607	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180607	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180607	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180607	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180607	IN0020150069	07.59 GS 2029	1673.61	96236.793	1.74
20180607	IN0020060078	08.24 GS 2027	1394.525	93388.55	1.49
20180607	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180607	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180607	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180607	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180607	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180607	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180607	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180607	IN0020150051	07.73 GS 2034	836.235	100000	0.84
20180607	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180607	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180608	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180608	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180608	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180608	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180608	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180608	IN0020130038	07.28 GS 2019	2700.789	53000	5.1
20180608	IN0020160019	07.61 GS 2030	3334.564	85000	3.92
20180608	IN0020150093	07.59 GS 2026	4161.348	96000	4.34
20180608	IN0020090034	07.35 GS 2024	3762.03	90168.022	4.17
20180608	IN0020092071	GOI FRB 2020	505	13000	3.89
20180608	IN0020170174	07.17 GS 2028	1911.283	52000	3.68
20180608	IN0020120039	08.33 GS 2026	3124.41	90000	3.47
20180608	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180608	IN0020170026	06.79 GS 2027	9244.075	121000	7.64
20180608	IN0020070069	08.28 GS 2027	3085.35	89252.24	3.46
20180608	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180608	IN0020150036	07.72 GS 2025	7673.729	86000	8.92
20180608	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180608	IN0020110030	08.79 GS 2021	9603.48	83000	11.57
20180608	IN0020160050	06.84 GS 2022	11952.723	96000	12.45
20180608	IN0020120013	08.15 GS 2022	11129.685	83000	13.41
20180608	IN0020130012	07.16 GS 2023	10415.36	77100	13.51
20180608	IN0020060037	08.20 GS 2022	8443.88	57632.33	14.65
20180608	IN0020110022	07.80 GS 2021	9913.767	66000	15.02
20180608	IN0020070028	08.08 GS 2022	10906.222	68969.411	15.81
20180608	IN0020150010	07.68 GS 2023	14426.888	88132.012	16.37
20180608	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180608	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180608	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180608	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180608	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180608	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180608	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180608	IN0020160092	06.62 GS 2051	35	55000	0.06
20180608	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180608	IN0020020106	07.95 GS 2032	102	89000	0.12
20180608	IN0020140052	08.24 GS 2033	220.372	87275	0.25
20180608	IN0020050012	07.40 GS 2035	173.05	60245	0.29
20180608	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180608	IN0020160100	06.57 GS 2033	195	52000	0.38
20180608	IN0020150044	08.13 GS 2045	362.735	76000	0.48
20180608	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180608	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180608	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180608	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180608	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180608	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180608	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180608	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180608	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180608	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
20180608	IN0020150069	07.59 GS 2029	1673.61	96236.793	1.74
20180608	IN0020060045	08.33 GS 2036	601.6	86000	0.7
20180608	IN0020120062	08.30 GS 2042	1438.324	104529.44	1.38
20180608	IN0020060078	08.24 GS 2027	1394.525	93388.55	1.49
20180608	IN0020170042	06.68 GS 2031	942.1	93251.703	1.01
20180608	IN0020140078	08.17 GS 2044	809.04	86000	0.94
20180608	IN0020089069	06.90 OIL SPL 2026	200	21942	0.91
20180608	IN0020060318	07.94 GS 2021	429.8	49425	0.87
20180608	IN0020070036	08.26 GS 2027	630	73427.329	0.86
20180608	IN0020150051	07.73 GS 2034	836.235	100000	0.84
20180608	IN0020110055	08.97 GS 2030	1024	90000	1.14
20180611	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180611	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180611	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180611	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180611	IN0020130038	07.28 GS 2019	2700.789	53000	5.1
20180611	IN0020120039	08.33 GS 2026	3124.41	90000	3.47
20180611	IN0020150093	07.59 GS 2026	4165.748	96000	4.34
20180611	IN0020090034	07.35 GS 2024	3760.01	90168.022	4.17
20180611	IN0020160019	07.61 GS 2030	3334.564	85000	3.92
20180611	IN0020092071	GOI FRB 2020	505	13000	3.89
20180611	IN0020170174	07.17 GS 2028	1991.283	52000	3.83
20180611	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180611	IN0020140060	08.15 GS 2026	3836.55	86489.206	4.44
20180611	IN0020170026	06.79 GS 2027	9244.075	121000	7.64
20180611	IN0020120013	08.15 GS 2022	10929.685	83000	13.17
20180611	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180611	IN0020150036	07.72 GS 2025	7673.729	86000	8.92
20180611	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180611	IN0020110030	08.79 GS 2021	9603.48	83000	11.57
20180611	IN0020160050	06.84 GS 2022	11932.723	96000	12.43
20180611	IN0020130012	07.16 GS 2023	10435.36	77100	13.54
20180611	IN0020060037	08.20 GS 2022	8443.88	57632.33	14.65
20180611	IN0020110022	07.80 GS 2021	9913.767	66000	15.02
20180611	IN0020070028	08.08 GS 2022	10906.222	68969.411	15.81
20180611	IN0020150010	07.68 GS 2023	14426.888	88132.012	16.37
20180611	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180611	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180611	IN0020070069	08.28 GS 2027	3085.35	89252.24	3.46
20180611	IN0020020072	08.35 GS 2022	6438.84	77000	8.36
20180611	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180611	IN0020110071	08.19 GS 2020	1659.383	74000	2.24
20180611	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180611	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180611	IN0020160092	06.62 GS 2051	35	55000	0.06
20180611	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180611	IN0020020106	07.95 GS 2032	102	89000	0.12
20180611	IN0020140052	08.24 GS 2033	220.372	87275	0.25
20180611	IN0020050012	07.40 GS 2035	173.05	60245	0.29
20180611	IN0020110063	08.83 GS 2041	279.9	90000	0.31
20180611	IN0020160100	06.57 GS 2033	195	52000	0.38
20180611	IN0020150044	08.13 GS 2045	362.735	76000	0.48
20180611	IN0020130053	09.20 GS 2030	322.039	61884.55	0.52
20180611	IN0020060086	08.28 GS 2032	483	90687.11	0.53
20180611	IN0020040039	07.50 GS 2034	479.75	90000	0.53
20180611	IN0020160068	07.06 GS 2046	369.055	64000	0.58
20180611	IN0020100031	08.30 GS 2040	552.85	90000	0.61
20180611	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180611	IN0020160118	06.79 GS 2029	948.55	118801.123	0.8
20180611	IN0020020171	06.35 GS 2020	1240.014	61000	2.03
20180611	IN0020120047	08.20 GS 2025	1801.5	90000	2
20180611	IN0020160035	06.97 GS 2026	1712.218	91000	1.88
